InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
561034,21908,CHOCOLATE THIS WAY METAL SIGN,2,24/07/11 11:45,2.1,15506,United Kingdom
574690,23508,MINI PLAYING CARDS DOLLY GIRL ,20,06/11/11 13:11,0.42,12638,Sweden
572294,22567,20 DOLLY PEGS RETROSPOT,1,23/10/11 13:10,1.45,13471,United Kingdom
548894,37446,MINI CAKE STAND WITH HANGING CAKES,1,04/04/11 16:01,3.29,,United Kingdom
552687,21625,VINTAGE UNION JACK APRON,1,10/05/11 15:09,14.13,,United Kingdom
554986,21175,GIN + TONIC DIET METAL SIGN,2,29/05/11 12:35,2.55,14451,United Kingdom
554141,22219,LOVEBIRD HANGING DECORATION WHITE ,12,23/05/11 10:34,0.85,14189,United Kingdom
545748,22960,JAM MAKING SET WITH JARS,60,07/03/11 11:52,3.75,17381,United Kingdom
550497,22090,PAPER BUNTING RETROSPOT,80,18/04/11 15:08,2.55,18064,United Kingdom
568095,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,23/09/11 14:49,5.95,14911,EIRE
553657,84596F,SMALL MARSHMALLOWS PINK BOWL,2,18/05/11 11:28,0.42,14583,United Kingdom
537666,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,07/12/10 18:36,1.28,,United Kingdom
538071,35916C,PINK FELT HANGING HEART W FLOWER,1,09/12/10 14:09,1.66,,United Kingdom
580681,22780,LIGHT GARLAND BUTTERFILES PINK,8,05/12/11 15:01,4.25,13083,United Kingdom
577078,23582,VINTAGE DOILY JUMBO BAG RED ,3,17/11/11 15:17,4.13,,United Kingdom
539414,21823,PAINTED METAL HEART WITH HOLLY BELL,3,17/12/10 13:45,1.45,16931,United Kingdom
540180,84978,HANGING HEART JAR T-LIGHT HOLDER,6,05/01/11 13:05,1.25,15984,United Kingdom
549526,85114C,RED ENCHANTED FOREST PLACEMAT,24,08/04/11 15:49,1.65,13630,United Kingdom
579456,22624,IVORY KITCHEN SCALES,1,29/11/11 14:20,8.5,13428,United Kingdom
577168,22423,REGENCY CAKESTAND 3 TIER,56,18/11/11 10:42,10.95,12603,Germany
541518,22099,CARAVAN SQUARE TISSUE BOX,36,19/01/11 9:05,1.06,12451,Switzerland
580729,85032A,ROMANTIC IMAGES GIFT WRAP SET,1,05/12/11 17:24,1.63,,United Kingdom
567476,23203,JUMBO BAG VINTAGE DOILY ,10,20/09/11 13:19,2.08,14859,United Kingdom
560926,22291,HANGING CHICK CREAM DECORATION,12,22/07/11 9:20,1.25,,United Kingdom
566400,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,12/09/11 13:16,2.95,17139,United Kingdom
542933,22841,ROUND CAKE TIN VINTAGE GREEN,12,02/02/11 10:56,6.95,14411,United Kingdom
574076,21802,CHRISTMAS TREE HEART DECORATION,12,02/11/11 15:38,0.42,,United Kingdom
569630,84879,ASSORTED COLOUR BIRD ORNAMENT,16,05/10/11 11:44,1.69,13458,United Kingdom
554058,23006,TRAVEL CARD WALLET FLOWER MEADOW,1,20/05/11 16:04,0.42,17757,United Kingdom
571187,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,14/10/11 11:39,1.65,12380,Belgium
581023,23298,SPOTTY BUNTING,1,07/12/11 10:35,10.79,,United Kingdom
558777,23112,PARISIENNE CURIO CABINET,1,04/07/11 10:23,14.96,,United Kingdom
559693,22365,DOORMAT RESPECTABLE HOUSE,1,11/07/11 16:21,15.79,,United Kingdom
574701,21162,TOXIC AREA  DOOR HANGER ,2,06/11/11 13:54,0.39,15426,United Kingdom
558475,90116,FRUIT SALAD BAG CHARM,1,29/06/11 15:58,2.46,,United Kingdom
562218,22178,VICTORIAN GLASS HANGING T-LIGHT,96,03/08/11 14:07,1.06,13851,United Kingdom
573576,21986,PACK OF 12 PINK POLKADOT TISSUES,1,31/10/11 14:09,0.83,14096,United Kingdom
542710,20971,PINK BLUE FELT CRAFT TRINKET BOX,24,31/01/11 13:17,1.25,14776,United Kingdom
558388,23285,PINK VINTAGE SPOT BEAKER,8,29/06/11 10:00,0.85,,EIRE
